mondo_id,label,pubmed_total_count,ct_active_trials,ct_total_enrollment_target,wiki_annual_pv,wiki_lang_count,google_result_count
MONDO:0859571,"diaphragmatic hernia 4, with cardiovascular defects",137,2,520,5758,7,0
MONDO:0859572,cardiac valvular dysplasia 2,89,0,0,32618,5,0
MONDO:0859573,bent bone dysplasia syndrome 2,15,0,0,0,1,0
MONDO:0859574,"ichthyosis, annular epidermolytic, 2",6,0,0,145399,33,0
MONDO:0859575,Atelis syndrome 1,1,0,0,8777,9,0
MONDO:0859576,Atelis syndrome 2,1,0,0,8777,9,0
MONDO:0859577,lacrimoauriculodentodigital syndrome 2,8,0,0,17254,9,0
MONDO:0859578,lacrimoauriculodentodigital syndrome 3,6,0,0,17254,9,0
MONDO:0859588,keratosis pilaris atrophicans faciei,183,0,0,310970,20,0
MONDO:0859591,childhood low-grade glioma,456,7,633,199974,29,0
MONDO:0859592,IDH-mutant and 1p/19q-codeleted oligodendroglioma,145,1,365,69071,16,0
MONDO:0859597,cns neuroblastoma with FOXR2 activation,31,2,318,8292,7,0
MONDO:0859598,erythroleukemia,8403,0,0,0,0,0
MONDO:0859614,"diffuse low-grade glioma, MAPK pathway–altered",13,0,0,8292,7,0
MONDO:0859615,"diffuse astrocytoma, MYB- or MYBL1-altered",58,0,0,8292,7,0
MONDO:0859689,hepatobiliary benign neoplasm,31809,8,1835,5475,5,0
MONDO:0859690,malignant cystadenoma,8620,2,556,9509,9,0
MONDO:0859692,immune-mediated cerebellar ataxia,187,2,380,96449,8,0
MONDO:0859747,grade I lymphomatoid granulomatosis,0,3,18000,9470,6,0
MONDO:0859748,grade II lymphomatoid granulomatosis,14,3,18000,9470,6,0
MONDO:0859749,grade III lymphomatoid granulomatosis,19,3,18000,9470,6,0
MONDO:0859763,mosaic neurofibromatosis type 1,225,0,0,24823,9,0
MONDO:0859764,mosaic NF2-related schwannomatosis,16,0,0,24823,9,0
MONDO:0859765,mosaic schwannomatosis,71,0,0,24823,9,0
MONDO:0956962,benign teratoma,29945,5,75900,340823,43,0
MONDO:0956964,medulloblastoma SHH activated and TP53 mutant,29,2,400,0,0,0
MONDO:0956965,medulloblastoma SHH activated and TP53 wild-type,10,2,400,0,0,0
MONDO:0956966,medulloblastoma non-WNT/non-SHH group 3,47,2,230,235924,28,0
MONDO:0956967,medulloblastoma non-WNT/non-SHH group 4,46,2,230,235924,28,0
MONDO:0956969,chronic inducible urticaria,1082,12,4089,72626,3,0
MONDO:0956971,intermittent asthma,2146,8,15944,500850,123,0
MONDO:0956975,T2-high asthma,280,10,5675,4362,2,0
MONDO:0956976,T2-low asthma,184,6,8360,4362,2,0
MONDO:0956977,near-fatal asthma,373,2,412,96135,23,0
MONDO:0956979,nocturnal asthma,1704,41,14642,33515,10,0
MONDO:0956980,vascular parkinsonism,4766,69,307688,119399,22,0
MONDO:0956981,"astrocytoma, IDH-mutant, grade 4",350,15,6161,1124979,48,0
MONDO:0956983,pleomorphic xanthoastrocytoma BRAF mutant,114,0,0,42451,12,0
MONDO:0956984,YAP1-MAMLD1 fusion-positive supratentorial ependymoma,4,0,0,0,0,0
MONDO:0956985,lipofibromatosis-like neural tumor,30,1,139,1488,2,0
MONDO:0956986,solitary fibrous tumor/hemangiopericytoma,760,7,3960,15194,7,0
MONDO:0956987,EZB-MYC+ diffuse large B-cell lymphoma,1,0,0,0,0,0
MONDO:0956988,EZB-MYC- diffuse large B-cell lymphoma,1,0,0,0,0,0
MONDO:0956989,CIC-rearranged sarcoma,159,2,171,8292,7,0
MONDO:0956990,"supratentorial ependymoma, ZFTA fusion–positive",35,0,0,8292,7,0
MONDO:0956991,"supratentorial ependymoma, YAP1 fusion–positive",23,0,0,8292,7,0
MONDO:0956992,posterior fossa group A ependymoma,0,0,0,34644,17,0
MONDO:0956993,posterior fossa group B ependymoma,0,0,0,34644,17,0
MONDO:0956994,"astrocytoma, IDH-mutant, grade 2",402,17,4842,121431,26,0
MONDO:0956995,"astrocytoma, IDH-mutant, grade 3",335,16,6502,23067,12,0
MONDO:0956996,"oligodendroglioma, IDH-mutant and 1p/19q-codeleted grade 2",62,1,365,69071,16,0
MONDO:0956997,"oligodendroglioma, IDH-mutant and 1p/19q-codeleted, grade 3",61,1,365,69071,16,0
MONDO:0957003,hereditary neuro-ophthalmological disease,24,2,72,24694,11,0
MONDO:0957008,hereditary cerebral malformation,3787,667,936993,62833,13,0
MONDO:0957018,autoinflammatory syndrome of childhood,267,3,41500,18577,12,0
MONDO:0957048,isolated macular dystrophy,1104,1,640,71005,15,0
MONDO:0957097,hereditary hemolytic uremic syndrome,136,3,55105,232041,22,0
MONDO:0957111,neurological muscular channelopathy due to a genetic sodium channel defect,0,0,0,747637,70,0
MONDO:0957112,neurological muscular channelopathy due to a genetic chloride channel defect,0,0,0,4442,2,0
MONDO:0957113,neurological muscular channelopathy due to a genetic calcium channel defect,1,0,0,747637,70,0
MONDO:0957114,neurological muscular channelopathy due to a genetic potassium channel defect,1,0,0,747637,70,0
MONDO:0957196,"diffuse midline glioma, H3 K27M-mutant",134,19,5622,73370,7,0
MONDO:0957197,"diffuse glioma, H3 G34 mutant",62,7,2029,3519,2,0
MONDO:0957202,"spermatogenic failure, X-linked, 7",3,0,0,57424,25,0
MONDO:0957203,"intellectual developmental disorder, X-linked 111",114,0,0,121849,14,0
MONDO:0957204,autoinflammation with pulmonary and cutaneous vasculitis,6,0,0,0,0,0
MONDO:0957208,"pituitary hormone deficiency, combined or isolated, 8",473062,0,0,104094,20,0
MONDO:0957210,neurooculorenal syndrome,1738325,0,0,0,0,0
MONDO:0957211,neurodegeneration and seizures due to copper transport defect,5,0,0,53635,21,0
MONDO:0957215,congenital myopathy 20,810,33,24425,12425,7,0
MONDO:0957216,premature ovarian failure 21,478,6,992,61994,23,0
MONDO:0957217,"cortical dysplasia, complex, with other brain malformations 12",87,0,0,243212,58,0
MONDO:0957218,"neurodevelopmental disorder with microcephaly and speech delay, with or without brain abnormalities",198242,0,0,215584,30,0
MONDO:0957220,oocyte/zygote/embryo maturation arrest 17,0,0,0,76847,28,0
MONDO:0957224,congenital myopathy 21 with early respiratory failure,7,1,20000,805961,63,0
MONDO:0957225,"neurodegeneration with developmental delay, early respiratory failure, myoclonic seizures, and brain abnormalities",2,0,0,6410,2,0
MONDO:0957228,"intellectual developmental disorder, autosomal dominant 71, with behavioral abnormalities",6,0,0,151882,49,0
MONDO:0957229,hatipoglu immunodeficiency syndrome,10,0,0,0,0,0
MONDO:0957230,oocyte/zygote/embryo maturation arrest 18,0,0,0,76847,28,0
MONDO:0957231,oocyte/zygote/embryo maturation arrest 19,0,0,0,616965,58,0
MONDO:0957240,cone-rod dystrophy 24,114,2,96,749,1,0
MONDO:0957247,"congenital myopathy 22A, classic",1,0,0,48794,12,0
MONDO:0957248,"developmental and epileptic encephalopathy, 31B",1,0,0,0,0,0
MONDO:0957249,spermatogenic failure 82,10,0,0,49640,36,0
MONDO:0957250,spermatogenic failure 83,18,0,0,72139,34,0
MONDO:0957252,"ciliary dyskinesia, primary, 50",239,0,0,54627,11,0
MONDO:0957253,diarrhea 13,18860,80,36627,50126,1,0
MONDO:0957254,"mitochondrial complex V (ATP synthase) deficiency, nuclear type 4A",0,0,0,6410,2,0
MONDO:0957255,"mitochondrial complex V (ATP synthase) deficiency, nuclear type 7",0,0,0,33183,9,0
MONDO:0957260,combined low LDL and fibrinogen,169,6,6760,7898,7,0
MONDO:0957261,"pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 7",71326,0,0,13342,5,0
MONDO:0957262,"osteopetrosis, autosomal recessive 9",46,0,0,65120,20,0
MONDO:0957263,"pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 8",71325,0,0,13342,5,0
MONDO:0957264,cerebroretinal microangiopathy with calcifications and cysts 3,6,0,0,6027,4,0
MONDO:0957265,"congenital myopathy 22B, severe fetal",1,0,0,48794,12,0
MONDO:0957266,RECON progeroid syndrome,1,0,0,0,0,0
MONDO:0957267,"neurodevelopmental disorder with intracranial hemorrhage, seizures, and spasticity",3,0,0,1451,2,0
MONDO:0957268,hypersulfaturia,9,0,0,0,0,0
MONDO:0957270,"muscular dystrophy, limb-girdle, autosomal recessive 28",26,0,0,39575,13,0
MONDO:0957271,"autoinflammatory disease, systemic, with vasculitis",434,13,50955,240447,32,0
MONDO:0957273,"Charcot-Marie-Tooth disease, dominant intermediate A",114,2,450,565759,33,0
MONDO:0957274,"spastic paraplegia 89, autosomal recessive",7,0,0,910,2,0
MONDO:0957278,oocyte/zygote/embryo maturation arrest 20,0,0,0,76847,28,0
MONDO:0957279,"auditory neuropathy, autosomal dominant 2",15,0,0,307141,24,0
MONDO:0957281,"nemaline myopathy 5B, autosomal recessive, childhood-onset",0,0,0,0,0,0
MONDO:0957284,"nemaline myopathy 5C, autosomal dominant",0,0,0,0,0,0
MONDO:0957288,"intellectual developmental disorder, autosomal recessive 79",19,0,0,119950,32,0
MONDO:0957294,"pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 9",71326,1,36,13342,5,0
MONDO:0957301,spermatogenic failure 84,13,0,0,442147,43,0
MONDO:0957303,"palmoplantar keratoderma, epidermolytic, 2",260,0,0,25590,8,0
MONDO:0957307,woolly hair-skin fragility syndrome,9,0,0,106524,8,0
MONDO:0957308,"spastic paraplegia 90A, autosomal dominant",0,0,0,0,0,0
MONDO:0957309,"spastic paraplegia 90B, autosomal recessive",0,0,0,0,0,0
MONDO:0957314,retinitis pigmentosa 97,168,0,0,128389,25,0
MONDO:0957317,"hematuria, benign familial",50,4,38600,154789,48,0
MONDO:0957318,"nephrolithiasis, calcium oxalate",194,109,101810,328903,80,0
MONDO:0957337,isolated chorioretinal dystrophy,16,0,0,6410,2,0
MONDO:0957341,secondary early-onset glaucoma,9,0,0,9143,2,0
MONDO:0957382,multiple mitochondrial dysfunctions syndrome 7,7,0,0,83197,29,0
MONDO:0957385,"dystonia 37, early-onset, with striatal lesions",0,0,0,324662,41,0
MONDO:0957386,"neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities",10,1,250,758720,46,0
MONDO:0957388,"autoimmune disease, multisystem, infantile-onset, 3",5,1,5000,565481,49,0
MONDO:0957396,"ciliary dyskinesia, primary, 51",76,0,0,54627,11,0
MONDO:0957397,"intellectual developmental disorder, autosomal dominant 72",20,0,0,171883,16,0
MONDO:0957400,"cataracts, hearing impairment, nephrotic syndrome, and enterocolitis",1,0,0,0,0,0
MONDO:0957403,periodic fever syndrome of childhood,277,1,1500,18577,12,0
MONDO:0957405,granulomatous autoinflammatory syndrome of childhood,21,0,0,1400910,71,0
MONDO:0957408,type 1 interferonopathy of childhood,16,1,500,4201,3,0
MONDO:0957421,borna virus encephalitis,195,0,0,16582,12,0
MONDO:0957423,immunotherapy induced hypophysitis,218,2,140,35248,15,0
MONDO:0957427,B-lymphoblastic leukemia/lymphoma with t(7;9)(q11.2;p13.2),0,0,0,0,0,0
MONDO:0957428,B-lymphoblastic leukemia/lymphoma with t(17;19),0,0,0,17157,4,0
MONDO:0957430,childhood-onset schizophrenia,5062,5,1068,44215,14,0
MONDO:0957431,endogenous Cushing syndrome,1107,6,1453,680718,54,0
MONDO:0957432,neonatal compartment syndrome,403,4,247,108986,5,0
MONDO:0957433,primary pulmonary vein stenosis,257,47,74028,2793,3,0
MONDO:0957442,autosomal recessive ataxia due to PEX16 deficiency,0,0,0,125192,13,0
MONDO:0957443,autosomal recessive ataxia due to PEX2 deficiency,0,0,0,125192,13,0
MONDO:0957451,non-terminal myelocystocele,6,0,0,27749,11,0
MONDO:0957452,segmental arterial mediolysis,239,0,0,6290,1,0
MONDO:0957453,true myelomeningocele,63,0,0,593339,44,0
MONDO:0957454,hemi-myelomeningocele,0,0,0,14254,4,0
MONDO:0957456,classical dermatomyositis,438,4,448,322515,30,0
MONDO:0957458,adermatopathic dermatomyositis,2,0,0,0,0,0
MONDO:0957459,congenital esophageal stenosis,973,6,30548,231426,34,0
MONDO:0957460,spontaneous intestinal perforation,1918,10,7491,121512,25,0
MONDO:0957461,primary tuberculous lymphadenitis,831,0,0,225937,38,0
MONDO:0957462,primary pulmonary tuberculosis,6983,62,200066,23503,2,0
MONDO:0957463,primary bone and joint tuberculosis,280,1,144,2128721,169,0
